Crash ID,State,Date,Day,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20183203,Qld,2-1-2018 9:00,Monday,Multiple,No,Yes,No,60,Pedestrian,Male,58,Major Cities of Australia,Sunshine Coast,Unknown,No,No,40_to_64,Weekday,Day
20183188,Qld,2-1-2018 9:00,Wednesday,Multiple,No,No,No,60,Driver,Male,83,Major Cities of Australia,Gold Coast,National or State Highway,No,No,75_or_older,Weekday,Day
20182093,Vic,2-1-2018 9:00,Thursday,Single,No,No,No,40,Driver,Male,92,Inner Regional Australia,Colac Otway,National or State Highway,No,No,75_or_older,Weekday,Day
20184043,SA,2-1-2018 10:00,Saturday,Multiple,No,No,No,50,Motorcycle rider,Male,48,Inner Regional Australia,Playford,Sub-Arterial Road,No,No,40_to_64,Weekend,Day
20185124,WA,2-1-2018 10:00,Saturday,Single,No,No,No,110,Driver,Female,78,Outer Regional Australia,Broomehill-Tambellup,Arterial Road,No,No,75_or_older,Weekend,Day
20183096,Qld,2-1-2018 11:00,Sunday,Multiple,No,No,No,110,Pedestrian,Male,25,Major Cities of Australia,Gold Coast,National or State Highway,No,No,17_to_25,Weekend,Day
20182139,Vic,2-1-2018 11:00,Monday,Single,No,No,No,Unknown,Pedal cyclist,Male,40,Major Cities of Australia,Boroondara,Local Road,No,No,40_to_64,Weekday,Day
20182101,Vic,2-1-2018 11:00,Thursday,Multiple,No,No,No,80,Driver,Female,27,Major Cities of Australia,Knox,Arterial Road,No,No,26_to_39,Weekday,Day
20181191,NSW & ACT,2-1-2018 11:00,Friday,Multiple,No,Yes,No,70,Passenger,Male,60,Major Cities of Australia,Campbelltown (NSW),Arterial Road,No,No,40_to_64,Weekday,Day
20181191,NSW & ACT,2-1-2018 11:00,Friday,Multiple,No,Yes,No,70,Passenger,Female,57,Major Cities of Australia,Campbelltown (NSW),Arterial Road,No,No,40_to_64,Weekday,Day
20181191,NSW & ACT,2-1-2018 11:00,Friday,Multiple,No,Yes,No,70,Driver,Male,73,Major Cities of Australia,Campbelltown (NSW),Arterial Road,No,No,65_to_74,Weekday,Day
20181092,NSW & ACT,2-1-2018 11:00,Thursday,Single,No,Yes,No,50,Pedestrian,Female,58,Major Cities of Australia,Northern Beaches,Collector Road,No,No,40_to_64,Weekday,Day
